tstamp,windspeed-2,windspeed-1,windspeed-0,temperature-2,temperature-1,temperature-0,solarflux,humidity-2,humidity-1,humidity-0,clearingprice
965070000,9.61883,9.47203,9.31125,60.262,60.1664,60.0145,0,0.8,0.80156,0.80375,0.14
965070900,9.47203,9.31125,9.13649,60.1664,60.0145,59.8064,0,0.80156,0.80375,0.80656,0.14
965071800,9.31125,9.13649,8.94775,60.0145,59.8064,59.542,0,0.80375,0.80656,0.81,0.14
965072700,9.13649,8.94775,8.68211,59.8064,59.542,59.1201,0,0.80656,0.81,0.81406,0.14
965073600,8.94775,8.68211,8.44443,59.542,59.1201,58.7095,0,0.81,0.81406,0.81875,0.14
965074500,8.68211,8.44443,8.23472,59.1201,58.7095,58.3101,0,0.81406,0.81875,0.82406,0.14
965075400,8.44443,8.23472,8.05297,58.7095,58.3101,57.922,0,0.81875,0.82406,0.83,0.14
965076300,8.23472,8.05297,7.9621,58.3101,57.922,57.6126,0,0.82406,0.83,0.83844,0.14
965077200,8.05297,7.9621,7.85724,57.922,57.6126,57.2695,0,0.83,0.83844,0.84625,0.14
965078100,7.9621,7.85724,7.7384,57.6126,57.2695,56.8926,0,0.83844,0.84625,0.85344,0.14
965079000,7.85724,7.7384,7.60558,57.2695,56.8926,56.482,0,0.84625,0.85344,0.86,0.14
965079900,7.7384,7.60558,7.33296,56.8926,56.482,55.7507,0,0.85344,0.86,0.865,0.14
965080800,7.60558,7.33296,7.13023,56.482,55.7507,55.177,0,0.86,0.865,0.87,0.14
965081700,7.33296,7.13023,6.99742,55.7507,55.177,54.7607,0,0.865,0.87,0.875,0.14
965082600,7.13023,6.99742,6.9345,55.177,54.7607,54.502,0.2822,0.87,0.875,0.88,0.14
965083500,6.99742,6.9345,6.92052,54.7607,54.502,54.4176,0.43954,0.875,0.88,0.8925,0.14
965084400,6.9345,6.92052,6.99043,54.502,54.4176,54.4795,1.25758,0.88,0.8925,0.9,0.12
965085300,6.92052,6.99043,7.14422,54.4176,54.4795,54.6876,2.7363,0.8925,0.9,0.9025,0.12
965086200,6.99043,7.14422,7.38189,54.4795,54.6876,55.042,4.87572,0.9,0.9025,0.9,0.12
965087100,7.14422,7.38189,8.1019,54.6876,55.042,55.6439,8.43015,0.9025,0.9,0.89531,0.12
965088000,7.38189,8.1019,8.64017,55.042,55.6439,56.3245,12.1424,0.9,0.89531,0.88375,0.12
965088900,8.1019,8.64017,8.99668,55.6439,56.3245,57.0839,16.0124,0.89531,0.88375,0.86531,0.12
965089800,8.64017,8.99668,9.17144,56.3245,57.0839,57.922,20.0403,0.88375,0.86531,0.84,0.12
965090700,8.99668,9.17144,8.78697,57.0839,57.922,59.5307,25.9639,0.86531,0.84,0.77875,0.12
965091600,9.17144,8.78697,8.4724,57.922,59.5307,60.757,30.8866,0.84,0.77875,0.73,0.12
965092500,8.78697,8.4724,8.22773,59.5307,60.757,61.6007,34.8086,0.77875,0.73,0.69375,0.12
965093400,8.4724,8.22773,8.05297,60.757,61.6007,62.062,37.7297,0.73,0.69375,0.67,0.12
965094300,8.22773,8.05297,7.94811,61.6007,62.062,60.7401,36.8126,0.69375,0.67,0.6925,0.12
965095200,8.05297,7.94811,7.91316,62.062,60.7401,59.9695,36.7863,0.67,0.6925,0.705,0.12
965096100,7.94811,7.91316,7.94811,60.7401,59.9695,59.7501,37.6508,0.6925,0.705,0.7075,0.12
965097000,7.91316,7.94811,8.05297,59.9695,59.7501,60.082,39.4061,0.705,0.7075,0.7,0.12
965097900,7.94811,8.05297,8.20676,59.7501,60.082,62.5176,47.5089,0.7075,0.7,0.65531,0.12
965098800,8.05297,8.20676,8.44443,60.082,62.5176,64.4695,52.8647,0.7,0.65531,0.61875,0.12
965099700,8.20676,8.44443,8.76599,62.5176,64.4695,65.9376,55.4736,0.65531,0.61875,0.59031,0.12
965100600,8.44443,8.76599,9.17144,64.4695,65.9376,66.922,55.3354,0.61875,0.59031,0.57,0.12
965101500,8.76599,9.17144,10.248,65.9376,66.922,66.7982,45.8918,0.59031,0.57,0.56625,0.12
965102400,9.17144,10.248,11.0169,66.922,66.7982,66.607,38.0735,0.57,0.56625,0.565,0.12
965103300,10.248,11.0169,11.4783,66.7982,66.607,66.3482,31.8806,0.56625,0.565,0.56625,0.12
965104200,11.0169,11.4783,11.6321,66.607,66.3482,66.022,27.3131,0.565,0.56625,0.57,0.12
965105100,11.4783,11.6321,11.1008,66.3482,66.022,65.257,26.5752,0.56625,0.57,0.58563,0.12
965106000,11.6321,11.1008,10.5136,66.022,65.257,64.672,25.9932,0.57,0.58563,0.5975,0.12
965106900,11.1008,10.5136,9.87048,65.257,64.672,64.267,25.567,0.58563,0.5975,0.60563,0.12
965107800,10.5136,9.87048,9.17144,64.672,64.267,64.042,25.2967,0.5975,0.60563,0.61,0.12
965108700,9.87048,9.17144,7.59859,64.267,64.042,63.9632,24.1086,0.60563,0.61,0.61063,0.12
